CA001125852,49.03,-119.44,BC,OSOYOOS CS,
CA001126146,49.46,-119.6,BC,PENTICTON,
CA001126510,49.47,-120.51,BC,PRINCETON A,
CA001128582,50.22,-119.19,BC,VERNON AUTO,
CA00112FN0M,49.47,-120.51,BC,PRINCETON CS,
CA00112G8L1,49.56,-119.64,BC,SUMMERLAND CS,
CA001141455,49.3,-117.63,BC,CASTLEGAR A,
CA001143900,49.91,-116.92,BC,KASLO,
CA001145460,49.99,-117.37,BC,NEW DENVER,
CA001145297,50.27,-117.81,BC,NAKUSP CS,
CA001145M29,49.49,-117.31,BC,NELSON CS,
CA001148705,49.11,-117.74,BC,WARFIELD RCS,
CA00114B1F0,49.08,-116.5,BC,CRESTON CAMPBELL SCIENTIFIC,
CA001152105,49.61,-115.78,BC,CRANBROOK,
CA001152850,49.49,-115.07,BC,FERNIE,
CA001157631,49.75,-114.89,BC,SPARWOOD CS,
CA001158730,49.82,-115.63,BC,WASA,
CA001160515,50.71,-121.28,BC,ASHCROFT,
CA001160899,52.13,-119.29,BC,BLUE RIVER A,
CA001160H99,52.13,-119.29,BC,BLUE RIVER CS,
CA001161650,51.65,-120.07,BC,,
CA001161663,51.15,-121.51,BC,CLINTON RCS,
CA001162265,51.3,-120.18,BC,DARFIELD,
CA001163780,50.7,-120.44,BC,KAMLOOPS A,
CA001168520,51.58,-119.78,BC,VAVENBY,
CA00116FRMN,50.7,-119.29,BC,SALMON ARM CS,
CA001175122,52.05,-118.59,BC,MICA DAM,
CA001176745,50.97,-118.18,BC,REVELSTOKE,
CA001176755,50.97,-118.18,BC,REVELSTOKE AIRPORT AUTO,
CA001182289,55.74,-120.18,BC,DAWSON CREEK A,
CA001183001,56.24,-120.74,BC,FORT ST. JOHN,
CA001184791,55.3,-123.13,BC,MACKENZIE,
CA001192341,58.41,-130.03,BC,DEASE LAKE,
CA001192946,58.84,-122.6,BC,FORT NELSON,
CA00119BLM0,58.42,-130.03,BC,DEASE LAKE (AUT),
CA002100181,61.37,-139.04,YT,BURWASH,
CA002101204,60.12,-128.82,YT,WATSON LAKE (AUT),
CA002101303,60.71,-135.06,YT,WHITEHORSE A,
CA002201579,60.23,-123.47,NT,FORT LIARD,
CA002202200,60.02,-111.96,NT,FORT SMITH A,
CA002202201,60.02,-111.96,NT,FORT SMITH A,
CA002202202,60.03,-111.93,NT,FORT SMITH CLIMATE,
CA002202400,60.84,-115.78,NT,HAY RIVER A,
CA002202578,68.32,-133.52,NT,,
CA002202801,65.28,-126.8,NT,NORMAN WELLS,
CA002300904,67.82,-115.14,NT,,
CA002302340,68.64,-95.85,NT,,
CA002303094,68.54,-89.8,NT,,
CA002303668,56.54,-79.26,NT,,
CA002400306,82.5,-62.33,NT,,
CA002400802,70.48,-68.52,NT,,
CA002402051,72.02,-94.2,NT,,
CA002402332,70.63,-100.27,NT,GATESHEAD,
CA002402353,68.78,-81.24,NT,,
CA002403204,72.69,-77.96,NT,,
CA003010010,54.28,-112.97,AB,ABEE AGDM,
CA003010060,53.11,-111.18,AB,ALBERT HALL AGCM,
CA003010162,52.32,-111.78,AB,ALLIANCE AGCM,
CA003010237,53.92,-112.28,AB,ANDREW AGDM,
CA003010540,52.93,-114.2,AB,BATTLE HEADWATERS,
CA003010650,52.58,-111.47,AB,BELLSHILL AGCM,
CA003010730,52.12,-110.1,AB,BODO AGDM,
CA003010816,53.09,-114.44,AB,BRETON PLOTS,
CA003010979,53.93,-113.92,AB,BUSBY AGCM,
CA003010992,52.33,-110.51,AB,CADOGAN AGCM,
CA003011240,53.03,-112.81,AB,CAMROSE,
CA003011815,51.94,-110.71,AB,CONSORT AGDM,
CA003011887,52.07,-111.45,AB,CORONATION CLIMATE,
CA003011892,52.73,-113.9,AB,CRESTOMERE AGCM,
CA003012050,52.18,-113.18,AB,DELBURNE AGCM,
CA003012073,53.66,-110.59,AB,DEWBERRY AGCM,
CA003012192,52.78,-110.43,AB,EDGERTON AGCM,
CA003012206,53.31,-113.61,AB,EDMONTON INTERNATIONAL CS,
CA003012209,53.57,-113.52,AB,EDMONTON MUNICIPAL CR10,
CA003012212,53.67,-113.47,AB,EDMONTON NAMAO AWOS A,
CA003012229,53.67,-113.56,AB,,
CA00301222F,53.55,-114.11,AB,EDMONTON STONY PLAIN,
CA003012275,53.68,-112.87,AB,ELK ISLAND NAT PARK,
CA003012515,52.97,-111,AB,FABYAN,
CA003012590,52.74,-112.86,AB,FERINTOSH AGCM,
CA003012635,52.04,-111.81,AB,FLEET AGCM,
CA003012652,52.47,-112.12,AB,FORESTBURG PLANT SITE,
CA003012653,52.55,-112.12,AB,FORESTBURG AGCM,
CA003012790,53.07,-110.62,AB,GILT EDGE NORTH AGCM,
CA003012810,52.99,-112.28,AB,GLADSTONE AGCM,
CA003012818,53.83,-114.54,AB,GLENEVIS AGCM,
CA003012871,52.11,-110.8,AB,GOOSEBERRY LAKE AGCM,
CA003012999,52.12,-112.16,AB,HALKIRK AGCM,
CA003013140,51.78,-111.21,AB,HEMARUKA AGCM,
CA003013340,53.19,-112.25,AB,HOLDEN AGDM,
CA003013362,52.58,-110.78,AB,HUGHENDEN AGCM,
CA003013640,52.85,-111.87,AB,KILLAM AGDM,
CA003013644,52.29,-111.11,AB,KESSLER AGCM,
CA003013647,53.05,-111.55,AB,KINSELLA RESEARCH,
CA003013660,53.35,-110.42,AB,KITSCOTY AGCM,
CA003013790,54,-113.47,AB,LEGAL AGCM,
CA003013921,53.94,-110.58,AB,LINDBERGH AGDM,
CA003013959,53.31,-110.07,AB,LLOYDMINSTER,
CA003014154,52.62,-113.41,AB,MAGEE LAKE,
CA003014195,53.46,-111.26,AB,MANNVILLE AGCM,
CA003014665,53.57,-112.3,AB,MUNDARE AGDM,
CA003014690,53.72,-111.11,AB,MYRNAM AGCM,
CA003014795,53.26,-113.17,AB,NEW SEREPTA AGCM,
CA003014921,53.65,-113.35,AB,OLIVER AGDM,
CA003015346,54,-112.88,AB,RADWAY AGCM,
CA003015480,52.59,-110.34,AB,RIBSTONE SOUTH AGCM,
CA003015501,53.02,-110.1,AB,RIVERCOURSE AGCM,
CA003015523,52.42,-114.91,AB,ROCKY MTN HOUSE (AUT),
CA003015600,52.78,-112.43,AB,ROSALIND AGCM,
CA003015673,54.28,-111.45,AB,ST. LINA AGCM,
CA003015676,54.01,-111.27,AB,ST. PAUL AGCM,
CA003015797,51.59,-110.75,AB,SEDALIA AGCM,
CA003015900,53.33,-112.54,AB,SHONTS AGCM,
CA003016022,54.28,-112.5,AB,SMOKY LAKE AGDM,
CA003016070,51.82,-111.68,AB,SPONDIN AGCM,
CA003016124,52.35,-112.6,AB,STETTLER AGDM,
CA003016441,53.22,-113.89,AB,THORSBY AGCM,
CA003016505,53.44,-114.72,AB,TOMAHAWK AGDM,
CA003016593,53.66,-110.08,AB,TULLIBY LAKE AGCM,
CA003016655,53.63,-111.68,AB,TWO HILLS AGDM,
CA003016802,53.34,-110.88,AB,VERMILION AGDM,
CA003016841,53.18,-111.73,AB,VIKING AGCM,
CA003016852,54.13,-111.92,AB,VILNA AGCM,
CA003016860,53.14,-115.13,AB,VIOLET GROVE CS,
CA003016GF0,53.51,-112.1,AB,VEGREVILLE,
CA003017282,52.98,-113.44,AB,WETASKIWIN AGCM,
CA003017705,51.49,-111.22,AB,YOUNGSTOWN AGCM,
CA00301B460,51.67,-110.21,AB,ESTHER 1,
CA00301S001,52.83,-111.1,AB,WAINWRIGHT CFB AIRFIELD 21,
CA003020035,51.07,-110.32,AB,ACADIA VALLEY,
CA003020405,50.81,-111.01,AB,ATLEE,
CA003020610,51.38,-113.36,AB,BEISEKER AGCM,
CA003020679,52,-112.8,AB,BIG VALLEY AGCM,
CA003020950,50.8,-110.69,AB,BUFFALO AGCM,
CA003021000,51.02,-111.22,AB,CABIN LAKE AGCM,
CA003021463,51.28,-110.82,AB,CEREAL AGCM,
CA003021667,51.73,-114.93,AB,COALCAMP CREEK,
CA003021912,51.78,-112.25,AB,CRAIGMYLE AGCM,
CA003022078,52.05,-114.22,AB,DICKSON DAM,
CA0030221LG,51.43,-112.67,AB,DRUMHELLER EAST,
CA003022990,51.45,-112.14,AB,HAND HILLS AGCM,
CA003023200,52.31,-114.49,AB,HESPERO AGCM,
CA003023402,51.18,-112.5,AB,HUSSAR AGDM,
CA003023513,51.89,-114.99,AB,JAMES RIVER RANGER STATION,
CA003023722,52.45,-113.76,AB,LACOMBE CDA 2,
CA003023740,52.55,-114.47,AB,LEEDALE AGDM,
CA003023850,51.62,-113.66,AB,LINDEN AGCM,
CA003024668,51.66,-112.68,AB,MORRIN AGDM,
CA003024925,51.76,-114.08,AB,OLDS AGDM,
CA003024965,51.38,-110.35,AB,OYEN AGDM,
CA003025013,50.74,-111.62,AB,PATRICIA AGCM,
CA003025243,51.13,-111.71,AB,POLLOCKVILLE AGDM,
CA003025297,52.43,-113.6,AB,PRENTISS,
CA003025481,52.18,-113.89,AB,RED DEER REGIONAL A,
CA003025750,53.69,-113.62,AB,ST. ALBERT RESEARCH,
CA003025768,50.31,-110.09,AB,SCHULER AGDM,
CA003025890,51.46,-111.65,AB,SHEERNESS AGCM,
CA003026479,51.83,-113.21,AB,THREE HILLS,
CA003026KNQ,51.78,-114.68,AB,SUNDRE A,
CA003027582,51.94,-113.59,AB,WIMBORNE AGCM,
CA003030450,50.51,-114.01,AB,AZURE,
CA003030525,49.8,-112.3,AB,BARNWELL AGDM,
CA003030529,50.03,-113.22,AB,BARONS AGCM,
CA003030540,50.89,-112.47,AB,BASSANO AGCM,
CA003030555,49.42,-114.1,AB,BEAUVAIS PARK,
CA003030680,50.71,-114.15,AB,BLACK DIAMOND,
CA003030690,50.55,-113.64,AB,BLACKIE AGCM,
CA003030720,49.57,-113.05,AB,BLOOD TRIBE AGDM,
CA003030768,49.73,-111.45,AB,BOW ISLAND,
CA003030772,49.87,-111.38,AB,BOW ISLAND IRRIGATION AGDM,
CA003030830,49.62,-113.82,AB,BROCKET AGDM,
CA003030879,50.34,-110.48,AB,BULL SPRINGS AGCM,
CA003030QLP,50.55,-111.85,AB,BROOKS,
CA003031093,51.11,-114.02,AB,CALGARY INT'L A,
CA003031322,49.2,-113.29,AB,CARDSTON,
CA003031402,49,-113.38,AB,CARWAY,
CA003031480,50.28,-113.35,AB,CHAMPION AGDM,
CA003031640,50,-113.64,AB,CLARESHOLM,
CA003031875,51.08,-114.22,AB,COP UPPER,
CA003032422,50.18,-112.43,AB,ENCHANT AGDM,
CA003032450,49.55,-111.05,AB,ETZICOM AGCM,
CA003032550,49.8,-112.03,AB,FINCASTLE AGDM,
CA003032642,49.48,-111.49,AB,FOREMOST AGDM,
CA003032683,49.79,-113.38,AB,FORT MACLEOD AGCM,
CA003032801,50.93,-112.94,AB,GLEICHEN AGCM,
CA003032818,49.33,-113.52,AB,GLENWOOD,
CA003032927,49.87,-111.73,AB,GRASSY LAKE,
CA003033498,49.9,-112.73,AB,IRON SPRINGS AGDM,
CA003033505,50.87,-114.29,AB,PRIDDIS OBSERVATORY,
CA003033550,49.99,-110.26,AB,IRVINE AGCM,
CA003033620,51.19,-113.63,AB,KEOMA AGCM,
CA003033770,50.6,-112.3,AB,LATHOM AGCM,
CA003033782,49,-113.54,AB,LEE CREEK 99,
CA003033875,49.63,-112.8,AB,LETHBRIDGE,
CA003033890,49.7,-112.78,AB,LETHBRIDGE CDA,
CA003033897,49.68,-112.75,AB,LETHBRIDGE DEMO FARM AGDM,
CA003034479,50.01,-110.71,AB,MEDICINE HAT,
CA003034485,50.03,-110.72,AB,MEDICINE HAT RCS,
CA003034489,49.63,-110.32,AB,MEDICINE LODGE LO,
CA003034577,50.67,-113.35,AB,MOSSLEIGH AGCM,
CA003034795,51.37,-114.1,AB,NEIR AGDM,
CA003035198,49.51,-114,AB,PINCHER CREEK,
CA003035208,49.52,-114,AB,PINCHER CREEK CR10,
CA003035228,50.12,-113.75,AB,PINE COULEE FP,
CA003035340,50.6,-112.98,AB,QUEENSTOWN,
CA003035342,50.6,-112.8,AB,QUEENSTOWN,
CA003035362,50.1,-111.21,AB,RALSTON AGCM,
CA003035422,49.48,-112.68,AB,RAYMOND AGDM,
CA003035530,50.27,-111.7,AB,ROLLING HILLS AGCM,
CA003035650,50.83,-112.05,AB,ROSEMARY AGDM,
CA003035845,49.92,-110.92,AB,SEVEN PERSONS AGDM,
CA003036040,50.73,-110.21,AB,SOCIAL PLAINS AGCM,
CA003036086,51.23,-112.98,AB,STANDARD AGCM,
CA003036099,50.18,-113.88,AB,STAVELY AAFC,
CA003036205,51.03,-113.28,AB,STRATHMORE AGDM,
CA003036380,49.69,-113.98,AB,TENNESSEE CREEK,
CA003036485,50.46,-111.32,AB,TIDE LAKE AGCM,
CA003036500,50.3,-112.86,AB,TRAVERS AGCM,
CA003036682,50.05,-112.13,AB,VAUXHALL CDA CS,
CA003037675,49.5,-112.12,AB,WRENTHAM AGDM,
CA003042045,49.05,-112.82,AB,DEL BONITA AGDM,
CA003044203,49.36,-110.68,AB,MANYBERRIES AGCM,
CA003044232,49.13,-111.66,AB,MASINASIN AGDM,
CA003044533,49.13,-112.05,AB,MILK RIVER,
CA003044545,49.28,-112.54,AB,MILK RIVER RIDGE RESERVOIR,
CA003044923,49.12,-110.47,AB,ONEFOUR CDA,
CA003045000,49.22,-111.13,AB,PAKOWKI LAKE AGCM,
CA003045100,49.03,-111.03,AB,PINHORN AGCM,
CA003046951,49.28,-112.16,AB,WARNER AGCM,
CA003050519,51.19,-115.55,AB,BANFF CS,
CA003050602,49.47,-114.18,AB,BEAVER MINES,
CA003050778,51.08,-115.07,AB,BOW VALLEY,
CA003050960,49.3,-113.36,AB,BULLHORN COULEE RESERVOIR,
CA003050965,49.15,-113.55,AB,BULLHORN HEADWATERS,
CA003050974,50.62,-114.88,AB,BURNS CREEK,
CA003051478,49.72,-114.28,AB,CHAPEL ROCK,
CA003051545,49,-113.67,AB,CHIEF CUSTOMS,
CA003051766,50.9,-114.92,AB,COMPRESSION RIDGE,
