Start Month,End Month,19,20,21,22,23
01,01,0.7406820948650282,0.46217262419416466,0.07490472188528276,-1.1336863337317602,0.800985076258294
01,02,0.8657058704956622,0.42031769940544556,0.11509869400864432,-1.1829646231329687,0.9710375480563042
01,03,0.8465352177395161,0.5035834963537612,0.45591434154535065,-1.0302428070403904,0.755737939003136
01,04,0.7543576679664951,0.3159898868068235,0.4365550798043175,-0.9744944885834413,0.3067689499488871
01,05,0.8953770907937076,0.23360516962401795,0.4548156098302625,-0.8695981526164002,0.15750922165335754
01,06,0.9219109222050476,0.06309596965392862,0.33378239505861984,-0.8507722926343494,0.08298244229952738
01,07,0.942817041181892,0.04058294217878223,0.2849923350883652,-0.8068430405015977,0.10889951520911628
01,08,0.9025966295070043,-0.05511083051658334,0.2103215073369171,-0.8227852922878518,0.1001078468671041
01,09,0.8862714236432729,-0.10331724057229841,0.1529202244306473,-0.8254447090289634,0.09673686049042053
01,10,0.8769931946438135,-0.21830036593154528,0.12999843232029035,-0.861411274963402,0.1006339621599971
01,11,0.8129636443699645,-0.26806422694738097,0.09498043644488403,-0.8684888355376545,0.08618092600973536
01,12,0.7629704859577671,-0.29409108385918903,0.06144350773829778,-0.8255017678623164,0.12123913619823823
02,02,0.9907296471922832,0.3784627745330235,0.15529266614855455,-1.2322429148509249,1.1410900217824844
02,03,0.8994617834800034,0.5242889329449533,0.6464191514595714,-0.9785210581193486,0.7331143757221504
02,04,0.7589161908986786,0.2672623066179468,0.5571052004511624,-0.921430543690594,0.14203023962956585
02,05,0.9340508413092572,0.17646330611795055,0.5497933320606293,-0.8035761056956598,-0.003359741787913504
02,06,0.9581566890765558,-0.016719361159765085,0.38555793020482837,-0.7941894856913144,-0.060618085120562916
02,07,0.9765062109135703,-0.029682005221600784,0.3200069378827299,-0.75236915384623,-0.006448078755025705
02,08,0.9257272760787317,-0.12900846733530064,0.22966676250238588,-0.7783708533008636,-1.7471855161613752e-05
02,09,0.9044700901510967,-0.17400347402348987,0.16267216284874228,-0.7869145027842923,0.008705833117938844
02,10,0.8921388793169255,-0.2939084725350516,0.13611995541130398,-0.8311584946888189,0.022817171128621656
02,11,0.8201918047477584,-0.3410879116381448,0.09698800798768153,-0.8419690885531912,0.014700511682790282
02,12,0.7649967028056328,-0.36284232923876625,0.060219760214974896,-0.7974849812099922,0.059444051405071564
03,03,0.8081939209584393,0.6701150912197614,1.1375456373085304,-0.7247991991071613,0.32513872982773573
03,04,0.6430094648946955,0.2116620745785147,0.758011463634416,-0.7660243546440553,-0.3574996494872226
03,05,0.9151579030520464,0.10913014917929272,0.6812935511468363,-0.660687168905505,-0.3848429975393289
03,06,0.950013450064732,-0.11551489509550858,0.44312424599085976,-0.6846761269004656,-0.3610451113029187
03,07,0.9736615200924866,-0.11131096060340462,0.3529497918246088,-0.6563944032985366,-0.23595569860510054
03,08,0.9148935594016363,-0.213587007460689,0.2420624451081213,-0.7027255158787161,-0.19020205377507376
03,09,0.8921472964105205,-0.25292722403676515,0.1637263766822652,-0.7232961552445573,-0.15306333684762077
03,10,0.8798150248135315,-0.3779548824505602,0.13372336695199466,-0.7810229393125312,-0.1169669340481319
03,11,0.8012431477257389,-0.4210379872346821,0.09050971228782738,-0.7986053293021527,-0.11045387831980953
03,12,0.7424234048057508,-0.43697284077061116,0.05071246997550376,-0.7540091947558325,-0.04872054643937785
04,04,0.4778250092791089,-0.24679094256400974,0.37847729166692223,-0.8072495071090047,-1.0401380283032797
04,05,0.9686398990516766,-0.17136232099501475,0.4531675136365393,-0.6286311547681029,-0.7398338594940103
04,06,0.9972866309184932,-0.3773915563653488,0.21165044963586838,-0.6713017719007739,-0.5897730587611693
04,07,1.0150284196303418,-0.306667473679589,0.1568008305257814,-0.6392932058627144,-0.37622930529115733
04,08,0.9362334744535383,-0.39032742709433743,0.06296580668348334,-0.6983107782736645,-0.293270210294073
04,09,0.9061395273999278,-0.4067676087865795,0.0014231669790084984,-0.7230456555530255,-0.23276368049494697
04,10,0.8900466051126953,-0.5276791660350917,-0.009679814302876349,-0.7890549005434004,-0.1801248861174288
04,11,0.8003743086511513,-0.5574321225965851,-0.040369778275005805,-0.807831095264421,-0.16490295410687475
04,12,0.7351155738827935,-0.5599826127233084,-0.07004677061913996,-0.7572547491047461,-0.09026046666544613
05,05,1.4594547882519942,-0.09593369984058472,0.5278577354896073,-0.4500128009099975,-0.43952968981853907
05,06,1.2570174348523613,-0.4426918649501303,0.12823702735434298,-0.6033279027587,-0.3645905737595806
05,07,1.1940962225891503,-0.32662631677907655,0.08290867763091177,-0.583307769496066,-0.15492639894946136
05,08,1.050835590703745,-0.42621154814021195,-0.015912064911292576,-0.6710760960590376,-0.10655325647200468
05,09,0.9918024284903145,-0.4387629432775843,-0.07398765873218056,-0.7062048815712901,-0.07128881206212492
05,10,0.9587502177765969,-0.5744938690493269,-0.07437266599476414,-0.7860224636825653,-0.03678936097093083
05,11,0.8464527758623946,-0.6018094362126079,-0.10020507420497698,-0.807914182737459,-0.03986937103719972
05,12,0.7672768899338571,-0.5991315697450529,-0.1261122786175005,-0.7510054044948562,0.028474229532461513
06,06,1.054580081132807,-0.7894500297488386,-0.2713836797192003,-0.7566430033402535,-0.2896514575240829
06,07,1.0614169408168768,-0.4419726262781884,-0.13956585189402532,-0.649955256798079,-0.012624752008016873
06,08,0.914629193418641,-0.5363041691531539,-0.19716866148752418,-0.7447638688480358,0.004438888012489553
06,09,0.8748893373199104,-0.5244702543435757,-0.22444900746395655,-0.7702529023671632,0.020771407949077118
