SPI Type,Month,2019,2020,2021,2022,2023
1,1,0.048912542236911,0.034893500088282,-0.398078876629385,0.921048276543589,-0.9078861269743591
1,2,-0.20957361740242897,-0.306633001771795,-0.324529270785384,0.9115687324594861,-0.26575137458359
1,3,-2.324690200974359,0.35131290024923,-0.29311653768718,0.013451382461539,-1.310054929810769
1,4,-0.257936303724615,-0.712556963761538,-0.470780813305898,0.377756365715385,-0.598489778235209
1,5,-1.066154662744433,0.376738847123846,-0.008763160735898,0.8429395194153841,-0.194826865607692
1,6,0.260412019266667,0.67566955542359,-0.537729604253847,0.338921607055898,-0.145386032506231
1,7,0.48637633731307695,0.748730323453846,-1.515845679417948,-1.097735586866152,-0.11503658916052198
1,8,0.23798359736666896,0.11346874005461502,0.330786956045898,-0.288369044404806,0.082490153445897
1,9,0.291621763376923,-0.652897098258975,-1.043005682220512,-0.905906408862377,-1.293081292635897
1,10,0.4028706096099359,0.508352150548717,-0.337056913046154,-0.901029504061537,-0.369471389859486
1,11,0.050995890276922994,0.40733878534384693,0.737499036379488,0.138135045396923,-0.650889765566666
1,12,-1.045468074225639,-0.410073929643589,-0.004346329145385,0.384957000421026,-1.734788683276922
2,1,-0.289240165335897,-0.662431314738463,-0.595643063151282,0.619069369387179,-0.323499894671795
2,2,-0.147204824725641,-0.196780350177713,-0.49494097139539095,1.115743070684615,-0.8196604908871801
2,3,-1.452536184376925,0.063977609274359,-0.403949386802403,0.662428885030769,-1.068474782611538
2,4,-1.466719077451281,-0.29672473267,-0.594253025485538,0.356476070260795,-1.317283759771794
2,5,-1.062806576338462,0.042975946703333,-0.27964535828905,0.8776269491256401,-0.45215381715641
2,6,-0.250348739609311,0.719435622692052,-0.453475506166667,0.84734235944564,-0.15188709194
2,7,0.480239379502564,0.9135955348512811,-1.325120253538463,-0.339007189164103,-0.086021946335897
2,8,0.535397290058008,0.591166511690256,-0.6900987412,-0.982216774895642,-0.034768568648718
2,9,0.354794024476923,-0.290714543607692,-0.22690323927359,-0.768137594466666,-0.624219540683077
2,10,0.4006901095512819,-0.255954651525641,-0.949635127156154,-1.240485712271794,-1.27697765481795
2,11,0.2329937291,0.58679271049541,0.226662245234716,-0.478896034811462,-0.701493294171795
2,12,-0.611141541498008,0.06362078470704,0.530497234246579,0.341596201353965,-1.482392796838463
3,1,-0.137913863775897,-0.5110749263,-0.203540975889743,0.818540955841284,-0.132219938078044
3,2,-0.370084454858974,-0.698870871094871,-0.641597827510257,0.8791442302923079,-0.392332765317705
3,3,-0.978389269437692,-0.005515962293846,-0.542980731123829,0.920513431228206,-1.299638086743589
3,4,-1.330147823230771,-0.377969866002564,-0.645737297937295,0.710820508499232,-1.181675410911795
3,5,-1.80645626168026,0.121742020966667,-0.37773409585641,0.8604506210204341,-0.868990467248718
3,6,-0.376478207341026,0.527000833289738,-0.622360753561538,0.8989525698753861,-0.303212707577436
3,7,0.086660133245052,0.938874290512821,-1.136519845058973,0.187763970458974,-0.156560295384615
3,8,0.540645096973312,0.8137828971487181,-0.860397238045638,-0.426095505693591,-0.045901815830149
3,9,0.574282468529349,0.252317309503077,-1.020951045064103,-1.268404709141028,-0.518567911753846
3,10,0.430386786982051,-0.100432270482052,-0.379520433518932,-1.034173890276924,-0.733748229477435
3,11,0.339960120584615,-0.06037795225560201,-0.451878028689743,-1.002764923247435,-1.40703524258974
3,12,-0.22620200278974403,0.327079621510256,0.176899619038718,-0.21278845641282101,-1.316572720076924
