,Date,SPI Type,value
0,2019-01,1,-0.20010440065886143
1,2020-01,1,-0.28705237529895633
2,2021-01,1,-0.6404442256222103
3,2022-01,1,0.12469868124949202
4,2023-01,1,0.414485122691128
5,2019-02,1,0.26995786649291204
6,2020-02,1,-0.32148568091605334
7,2021-02,1,-0.2786958205960294
8,2022-02,1,0.002341088057091047
9,2023-02,1,-0.13306164006486199
10,2019-03,1,-0.44236600874947163
11,2020-03,1,-0.08740393154873029
12,2021-03,1,0.06199081431928722
13,2022-03,1,-0.38992189199594823
14,2023-03,1,-0.5941891611332333
15,2019-04,1,-0.055317676798418695
16,2020-04,1,-0.848374671635645
17,2021-04,1,-0.6885085746138324
18,2022-04,1,0.08725066111455403
19,2023-04,1,-0.6136014064950941
20,2019-05,1,0.12917454283650395
21,2020-05,1,-0.10776769316393481
22,2021-05,1,-0.15649069299693016
23,2022-05,1,0.3725646209686791
24,2023-05,1,0.18327032533372165
25,2019-06,1,0.07180304198652893
26,2020-06,1,-0.041937484661034675
27,2021-06,1,-0.9400966795108373
28,2022-06,1,-0.44843799079525126
29,2023-06,1,0.3037417042242589
30,2019-07,1,0.7133764161643878
31,2020-07,1,0.09307953136002921
32,2021-07,1,-0.9109694846468918
33,2022-07,1,-0.11789201598864263
34,2023-07,1,-0.20988003417790485
35,2019-08,1,0.6827143312599845
36,2020-08,1,-0.7216398944932827
37,2021-08,1,0.1358359230321407
38,2022-08,1,-0.45105075380324844
39,2023-08,1,0.48268866023358836
40,2019-09,1,0.9253306036408154
41,2020-09,1,-0.5940151283879599
42,2021-09,1,-0.5782423999181759
43,2022-09,1,-0.7199437275351198
44,2023-09,1,-0.09086647439873795
45,2019-10,1,0.20788404185467493
46,2020-10,1,-0.09238234355107329
47,2021-10,1,0.5832901366098865
48,2022-10,1,-0.5613214311617967
49,2023-10,1,0.5451819209812339
50,2019-11,1,0.4604508048401636
51,2020-11,1,-0.417486087979238
52,2021-11,1,-0.36535166678908404
53,2022-11,1,0.012310276066058067
54,2023-11,1,-0.7850811365140519
55,2019-12,1,-0.20152031196376385
56,2020-12,1,-0.4474894551269557
57,2021-12,1,0.1513195675101794
58,2022-12,1,0.7708963898726607
59,2023-12,1,-0.5132021780129574
60,2019-01,2,-0.17215909733484588
61,2020-01,2,-0.33207620541333727
62,2021-01,2,-0.7913323382209788
63,2022-01,2,0.20183597512694393
64,2023-01,2,0.8436564059660523
65,2019-02,2,0.005089691502931965
66,2020-02,2,-0.40895584705799465
67,2021-02,2,-0.5916427323674114
68,2022-02,2,0.006257523113232444
69,2023-02,2,0.1646858792204611
70,2019-03,2,0.16531381353575642
71,2020-03,2,-0.26704442414004376
72,2021-03,2,-0.08843251569278368
73,2022-03,2,-0.3551321262228848
74,2023-03,2,-0.5767475799317271
75,2019-04,2,-0.22086187614770453
76,2020-04,2,-0.7642912266423504
77,2021-04,2,-0.44936355162729535
78,2022-04,2,-0.09358782636031035
79,2023-04,2,-0.9269660863552338
80,2019-05,2,0.08176563577530868
81,2020-05,2,-0.5751041505889665
82,2021-05,2,-0.544286144577622
83,2022-05,2,0.3027821966702449
84,2023-05,2,-0.13535897858073473
85,2019-06,2,0.2867921001036506
86,2020-06,2,-0.12996820232379092
87,2021-06,2,-0.7827076544353337
88,2022-06,2,0.036368461613207025
89,2023-06,2,0.28986039009702774
90,2019-07,2,0.4686739154477745
91,2020-07,2,0.017771794269914046
92,2021-07,2,-1.2651545708829068
93,2022-07,2,-0.3762679003232225
94,2023-07,2,0.09807277035236849
95,2019-08,2,0.9888893271215337
96,2020-08,2,-0.3850112063241794
97,2021-08,2,-0.4847247516209628
98,2022-08,2,-0.40109406263519065
99,2023-08,2,0.12074072643812366
100,2019-09,2,1.058207654934665
101,2020-09,2,-0.9207721029378934
102,2021-09,2,-0.17341614847693676
103,2022-09,2,-0.8636653324922247
104,2023-09,2,0.2226507015607471
105,2019-10,2,0.7949511574717475
106,2020-10,2,-0.5824265698117616
107,2021-10,2,-0.04296390025693372
108,2022-10,2,-0.9385552408635449
109,2023-10,2,0.16088551714100882
110,2019-11,2,0.33016881713696805
111,2020-11,2,-0.29645281144462204
112,2021-11,2,0.43153300118164023
113,2022-11,2,-0.4695898837153112
114,2023-11,2,0.15152440160232744
115,2019-12,2,0.1782402192857138
116,2020-12,2,-0.5775751664726986
117,2021-12,2,-0.21124099557631149
118,2022-12,2,0.4691963719442875
119,2023-12,2,-0.8589263962909244
120,2019-01,3,0.19161190319903634
121,2020-01,3,-0.018019808889574013
122,2021-01,3,-0.8480782534871489
123,2022-01,3,-0.14774340498961558
124,2023-01,3,0.6445134574711721
125,2019-02,3,-0.046442946424857835
126,2020-02,3,-0.4435176598573519
127,2021-02,3,-0.8062387651246247
128,2022-02,3,0.08158123698481612
129,2023-02,3,0.6438533835672702
130,2019-03,3,0.1541387374194365
131,2020-03,3,-0.3769480655324549
132,2021-03,3,-0.21456482415734124
133,2022-03,3,-0.31473556981240025
134,2023-03,3,-0.30590869945732485
135,2019-04,3,-0.020248183914676275
136,2020-04,3,-0.8217733641501974
137,2021-04,3,-0.5130046576526129
138,2022-04,3,-0.08559380606186273
139,2023-04,3,-0.9046826063013986
140,2019-05,3,-0.039734517752894744
141,2020-05,3,-0.5989469549399631
142,2021-05,3,-0.4001344164977322
143,2022-05,3,0.17116200018146044
144,2023-05,3,-0.3532631388817919
145,2019-06,3,0.19515742598122
146,2020-06,3,-0.4244003226069504
147,2021-06,3,-0.9884002476182878
148,2022-06,3,0.06217480199574664
149,2023-06,3,0.05610452813016889
