SPI Type,Month,2019,2020,2021,2022,2023
1,1,0.059431471829922956,-0.006269936545659014,-0.4379799781652767,0.6461500310316577,-1.0015897387494026
1,2,-0.27410888798592775,-0.4834649678755909,-0.5190438112194219,0.7235412711759884,-0.35472806966975756
1,3,-2.0704339760238226,-0.025253723865935527,-0.40675213817557876,-0.0006341623210200312,-1.0352115434448685
1,4,-0.3090576512241968,-0.5118506497698343,-0.37891179606162684,0.1491303576103988,-0.3563859987900845
1,5,-0.9075058971981419,0.25003128344312614,0.05343181818534617,0.7439186980668182,-0.6160226616184601
1,6,0.4249176316110211,0.5669915128956879,-0.1427659619895061,0.11769771469386348,0.08728931337586714
1,7,0.3052089601010878,0.9979025391428569,-1.2012722753336487,-0.7288015703515922,-0.634225265566453
1,8,0.21186167965400862,0.5788287749096107,0.30818240967737054,-0.4429273393037835,-0.5793048699530031
1,9,0.38723077419174534,-0.48717175317530415,-0.4719231173106909,-1.3730707304021503,-1.0117007421741555
1,10,0.21598304242412766,0.24171702277582544,-0.2600719014651781,-0.7939309443317796,-0.535977081860115
1,11,-0.19294525471779764,0.2662259189506711,0.4889259419533941,-0.037575533638010694,-0.6054481333466644
1,12,-0.9041583794674288,-0.37426700345235026,0.017972094000500583,0.39247219960184443,-1.3204015250887582
2,1,-0.27374524398516975,-0.6032488233714045,-0.5829910261876369,0.44859299667984953,-0.33431857893127453
2,2,-0.09554691162493582,-0.296951898303781,-0.6474322718928804,0.8285601291452814,-0.9145932331430842
2,3,-1.413517364850914,-0.2939025043491445,-0.6206707260608149,0.47471852408936466,-0.9697951464502906
2,4,-1.398270232200705,-0.4316010792844725,-0.5826162600680376,0.2057903941127415,-0.9158553991410081
2,5,-0.9532705278668808,-0.005562507547087394,-0.16327515103902937,0.6993498646221435,-0.6643824796938808
2,6,-0.059362553988818664,0.5632037878269482,-0.10825711180589603,0.6260571101966647,-0.18857127923196504
2,7,0.48563033199308636,1.0541977780345806,-0.8832878832217508,-0.3030435417835086,-0.26417438381137803
2,8,0.4156582626282369,1.066381037850235,-0.5451626356849226,-0.8153141783464004,-0.8106681179831879
2,9,0.43900861872050384,0.17874764155777634,0.00048364532463002506,-1.131487350065693,-0.9785037612643974
2,10,0.3731516114736353,-0.27290817515865257,-0.4525930128652679,-1.4257992815222356,-1.098387407215257
2,11,-0.02170153951686351,0.3345550343250018,0.11698901543791787,-0.5324531667217074,-0.74248648298432
2,12,-0.6924473992715837,-0.021617939172952974,0.36552456549868945,0.1979004156842586,-1.1717268083893715
3,1,-0.2660524296173826,-0.5918727871903728,-0.26811689694056556,0.5591868587546418,-0.26247891846648586
3,2,-0.31854652424893004,-0.6934160483765436,-0.7397074577741883,0.6794242611443022,-0.44496647789243726
3,3,-0.8974782231920425,-0.2737812280517376,-0.7131610157455868,0.640678735885376,-1.2424953587385992
3,4,-1.3093198114375286,-0.5455127518072544,-0.721009086336329,0.5258255029086445,-0.9176750384689013
3,5,-1.6268946239501396,-0.059322420874286706,-0.28573701097926163,0.677283835142575,-0.9804738444645149
3,6,-0.18856603722078627,0.40528684782931346,-0.24519545971624992,0.6494141197951276,-0.24981986790702188
3,7,0.1168033105246873,1.0135844104241234,-0.7129502416394521,0.14162031994086471,-0.46052429366858033
3,8,0.5402939958638443,1.1682883613742079,-0.5840453077065987,-0.4543008856535511,-0.5270316380900648
3,9,0.5772377603412818,0.7208609630299802,-0.6796515609387862,-1.2912773654028828,-1.0586762324956425
3,10,0.4363035839428011,0.20756889521753552,-0.1017709903888307,-1.2717519576556728,-1.047463756273598
3,11,0.21548282907935873,-0.1256273082643084,-0.18963646595558478,-1.2474483533069132,-1.1928757423025274
3,12,-0.3869697210266707,0.11893362077813571,0.0980691161086193,-0.27586457007970966,-1.1695640420849427
