SPI Type,Month,2019,2020,2021,2022,2023
1,1,-0.07398729479775894,0.044447027852374275,-0.09332576486426815,-0.13810055959774253,1.572715000918027
1,2,-0.42878553363601424,0.2687086844493308,-0.008333616077814293,-0.4278683088715881,0.02206820690597975
1,3,0.9868740982848138,0.493142803572892,1.2113435809639965,-0.27118295855596913,-0.5588585419002337
1,4,0.10583410800560147,-0.9106547625222184,-0.6024124950385302,-1.0224571825272237,-0.7388100689938466
1,5,1.2633263104981862,-0.31175199066343484,0.26849384070786597,-0.11300493344113832,0.8240562307433157
1,6,0.1741777102678475,-0.7439226456062616,-0.3737683058767338,-0.8738098498557637,0.7299106567305083
1,7,0.2575978014897361,-0.16313967288185677,-0.1203682866226598,-0.17402784374166777,0.39954254282713775
1,8,0.8771792700732903,-1.3054123013377137,-0.424733291021351,-0.33602008125422417,0.34161973059309264
1,9,-0.02791081432071348,-0.252749722815723,-0.19192818505556988,-0.5830326821165186,0.17938038281726493
1,10,-0.04538138786926254,-0.487942631090496,0.550023176233463,-0.550807669102828,0.7204207855947373
1,11,0.4951271652872687,-0.860377312674519,-0.9575752145735924,-0.2332530294097254,-0.6203740867731827
1,12,0.37061462185372107,0.036551728517304094,-0.828216558229303,0.3792271861112136,0.5786337669417884
2,1,0.41743062588701874,0.258416685148692,-0.1275226292141096,-0.5582085757069173,1.2218851545694103
2,2,-0.4107760484627483,0.13972847380377781,-0.03719928703149135,-0.4311734213998698,1.0585017868513804
2,3,0.7384284598420822,0.46454758773919685,1.0888028861960146,-0.494522517872402,-0.5525201338441899
2,4,0.7190186886168767,-0.39951805724672523,0.5120035751461177,-0.9149783908854687,-0.9896131598767016
2,5,1.153282921321282,-0.8276149500690915,-0.14840888268020763,-0.6101049368975521,0.3584563356771337
2,6,1.0149495794019439,-0.7467169266736667,-0.08248805280077455,-0.593857795279145,0.9761090897180213
2,7,0.20304385508316486,-0.634989459266469,-0.40504127099540244,-0.7345829708127646,0.7599063883624511
2,8,0.7712041971812731,-0.9204643785097918,-0.42014729142840446,-0.3297548482452378,0.500318725096789
2,9,0.48179966199862473,-1.117996967082633,-0.5024314722411842,-0.6988667781086834,0.2945360613015489
2,10,-0.1264620073054773,-0.6146058167446623,0.09281979952094743,-0.8187755573993726,0.4805120700696876
2,11,0.10392409334005487,-0.9339495727290447,0.06824935886060828,-0.6826131917900451,0.36304422560067956
2,12,0.48023285461985943,-0.6865789695814248,-1.1743172932560355,0.04150804122126888,-0.08601205200979962
3,1,0.5076289789755954,0.4077155637576365,-0.6938061091574855,-1.016915065122754,0.806806291412519
3,2,0.04195006424538924,0.2362506588473111,-0.1138829837271663,-0.7499837782896218,1.052837414816893
3,3,0.7053281381664154,0.3419973121471635,1.0783695021639843,-0.5291184412386246,0.22531824282522542
3,4,0.5505745515862663,-0.33160999586607653,0.439660252674471,-1.0401507167392887,-0.9592559184360983
3,5,1.4166654235428522,-0.552316277475938,0.3951961053501532,-0.7249358986360102,0.10245916177040229
3,6,0.9291995718159641,-1.0829038801331903,-0.3445745295550184,-0.9140056156423183,0.6254021223769112
3,7,0.961980899393336,-0.7056156395048931,-0.15399682722248625,-0.6196310206570464,0.9853279529533208
3,8,0.5147326470875156,-1.1329683223350409,-0.5758562522228209,-0.7912568838720856,0.7680225260286363
3,9,0.5433461320959541,-0.9542673284140578,-0.5353519464820348,-0.6352543975724702,0.4504801588544051
3,10,0.3371439422450146,-1.2257196061021358,-0.16251106332620205,-0.9003966720032562,0.5912967827053804
3,11,-0.020480546906879556,-0.9367574454673007,-0.20916451757595708,-0.893167378737146,0.25683380954486457
3,12,0.15175048117945436,-0.9026583266787653,-0.16312006458027903,-0.4553268916687792,0.5187085787395289
