SPI Type,Month,2019,2020,2021,2022,2023
1,1,0.7558582249463391,2.0736131236062247,0.3606559550109749,-1.9539748367199374,1.1611878026210836
1,2,0.2128244961166595,1.3951910505989635,-1.2624714731367643,-0.9997254392757196,-0.2731186857383775
1,3,-1.142507872781818,2.463268007480107,0.09611146220077524,-0.34707094002072336,-0.23358132682301497
1,4,2.437411714192374,0.05440140814428633,0.5291618112899735,-1.6324563508518293,-0.0074691140077852835
1,5,2.83502884692783,0.15572597470967534,2.43528938804352,-0.9186950563950531,0.22433182040163763
1,6,1.660147182834299,-0.5559282840497669,2.3541095184273413,-0.9098466163806158,-1.241646327557952
1,7,-0.3298928184407349,0.24074046319413758,2.7211586179578053,-1.0676069597125541,-1.644667762743491
1,8,-0.33556125585406943,-0.8534887852023363,1.3879271288100652,3.1418932963340445,-4.061662805015026
1,9,-1.0810734376108144,0.5961347752770938,-0.768156948429021,-2.77451479535073,-1.4246689944605577
1,10,1.4353182338505726,-0.7712428130974073,0.161634095982536,-0.2153794699592846,-0.055401228360347776
1,11,0.28274799735828515,-1.7120120296561416,-2.6514902913259792,1.3682187089904083,-1.4578307908271475
1,12,-0.3440815452681116,0.0008710930920137413,-0.9615703155758952,0.4867224452253843,0.2824107277430503
2,1,2.7048829249753417,0.6258646181282346,0.21767822634097383,-3.101980413502105,0.9569947267902477
2,2,0.6015259321623762,2.130772916557498,-0.6711020394961822,-2.2656104000497694,0.47297389219743774
2,3,-0.5698123288133609,2.338543462573052,-0.8284875307374571,-1.0950571503697268,-0.6978687156713423
2,4,1.2250442718017276,1.9532605227870556,0.38188232827324337,-1.5393363187623585,0.2419015407873189
2,5,3.2253303128917654,-0.006833425851050129,1.8057852479156933,-1.7169768243162555,0.37930463462114916
2,6,2.8630823143368938,-0.46747668673600445,2.9541735727057703,-1.0207132759434352,-0.7212016401278334
2,7,0.8403886828767426,-0.5918381038248238,3.249829452571808,-1.7072410295467066,-2.273123092096917
2,8,-0.6951091546706608,-0.7508843471290854,2.4846558461488444,1.7576591526476057,-3.396788926976235
2,9,-0.9618187699330463,-0.3282934103750318,0.20921981088683428,0.5498647622146222,-3.093538506916788
2,10,0.8532184422859016,-0.21337335400467505,-0.6091112589624436,-2.292687366281218,-1.0717957114573504
2,11,1.472637213624729,-1.8453097557561184,-1.7347352559919422,0.6622680132118792,-1.1141858759084904
2,12,-0.23521131441698287,-0.8742628576806255,-1.4960138894099118,1.0269830461606266,-0.2208352093093368
3,1,2.028199194077885,0.40716734312317965,-0.8559653913715447,-3.6355318139520074,1.4943426342585655
3,2,2.4646870522857083,1.0012562561344123,-0.5323960860356569,-3.0983435341100938,0.5227992352954579
3,3,-0.06579401073329462,2.8677900562640612,-0.5042855857838822,-1.922718177033656,0.11943645646354589
3,4,1.2017023983165023,2.0157438032236596,-0.3703656732559103,-1.806836882973177,-0.07257528800267937
3,5,2.4462944604970356,1.5694396911247672,1.6308632288162082,-1.6104216942466767,0.32950020846495087
3,6,3.2872853694915913,-0.4423653641369052,2.5150093432819247,-1.4287200254822405,-0.4567786073217544
3,7,2.0294364462327614,-0.5652948008150023,3.922105240248361,-1.5870657291001553,-1.8210801898700057
3,8,0.3647703731921825,-1.1242296647128045,3.067670079531163,0.7400664015391041,-3.7849170740005085
3,9,-0.8853849650821864,-0.32909032838463675,1.4360768894890108,-0.16363474899068217,-3.1258625320453306
3,10,0.4009912927656432,-0.8107161756169409,0.07540542245405182,0.06755562372352009,-2.5321235905806447
3,11,0.7614075615018897,-1.1083592173219285,-1.8715356452157288,-1.066355442586709,-1.8671950042081733
3,12,0.49311659765431204,-1.258288577269579,-0.8505075334258579,0.47484273024954166,-0.4361245125470071
