,Date,SPI Type,value
157,2021-08,3,-0.860397238045638
158,2022-08,3,-0.426095505693591
159,2023-08,3,-0.045901815830149
160,2019-09,3,0.574282468529349
161,2020-09,3,0.252317309503077
162,2021-09,3,-1.020951045064103
163,2022-09,3,-1.268404709141028
164,2023-09,3,-0.518567911753846
165,2019-10,3,0.430386786982051
166,2020-10,3,-0.100432270482052
167,2021-10,3,-0.379520433518932
168,2022-10,3,-1.034173890276924
169,2023-10,3,-0.733748229477435
170,2019-11,3,0.339960120584615
171,2020-11,3,-0.06037795225560201
172,2021-11,3,-0.451878028689743
173,2022-11,3,-1.002764923247435
174,2023-11,3,-1.40703524258974
175,2019-12,3,-0.22620200278974403
176,2020-12,3,0.327079621510256
177,2021-12,3,0.176899619038718
178,2022-12,3,-0.21278845641282101
