,Date,SPI Type,value
0,2019-01,1,0.048912542236911
1,2020-01,1,0.034893500088282
2,2021-01,1,-0.398078876629385
3,2022-01,1,0.921048276543589
4,2023-01,1,-0.9078861269743591
5,2019-02,1,-0.20957361740242897
6,2020-02,1,-0.306633001771795
7,2021-02,1,-0.324529270785384
8,2022-02,1,0.9115687324594861
9,2023-02,1,-0.26575137458359
10,2019-03,1,-2.324690200974359
11,2020-03,1,0.35131290024923
12,2021-03,1,-0.29311653768718
13,2022-03,1,0.013451382461539
14,2023-03,1,-1.310054929810769
15,2019-04,1,-0.257936303724615
16,2020-04,1,-0.712556963761538
17,2021-04,1,-0.470780813305898
18,2022-04,1,0.377756365715385
19,2023-04,1,-0.598489778235209
20,2019-05,1,-1.066154662744433
21,2020-05,1,0.376738847123846
22,2021-05,1,-0.008763160735898
23,2022-05,1,0.8429395194153841
24,2023-05,1,-0.194826865607692
25,2019-06,1,0.260412019266667
26,2020-06,1,0.67566955542359
27,2021-06,1,-0.537729604253847
28,2022-06,1,0.338921607055898
29,2023-06,1,-0.145386032506231
30,2019-07,1,0.48637633731307695
31,2020-07,1,0.748730323453846
32,2021-07,1,-1.515845679417948
33,2022-07,1,-1.097735586866152
34,2023-07,1,-0.11503658916052198
35,2019-08,1,0.23798359736666896
36,2020-08,1,0.11346874005461502
37,2021-08,1,0.330786956045898
38,2022-08,1,-0.288369044404806
39,2023-08,1,0.082490153445897
40,2019-09,1,0.291621763376923
41,2020-09,1,-0.652897098258975
42,2021-09,1,-1.043005682220512
43,2022-09,1,-0.905906408862377
44,2023-09,1,-1.293081292635897
45,2019-10,1,0.4028706096099359
46,2020-10,1,0.508352150548717
47,2021-10,1,-0.337056913046154
48,2022-10,1,-0.901029504061537
49,2023-10,1,-0.369471389859486
50,2019-11,1,0.050995890276922994
51,2020-11,1,0.40733878534384693
52,2021-11,1,0.737499036379488
53,2022-11,1,0.138135045396923
54,2023-11,1,-0.650889765566666
55,2019-12,1,-1.045468074225639
56,2020-12,1,-0.410073929643589
57,2021-12,1,-0.004346329145385
58,2022-12,1,0.384957000421026
59,2023-12,1,-1.734788683276922
60,2019-01,2,-0.289240165335897
61,2020-01,2,-0.662431314738463
62,2021-01,2,-0.595643063151282
63,2022-01,2,0.619069369387179
64,2023-01,2,-0.323499894671795
65,2019-02,2,-0.147204824725641
66,2020-02,2,-0.196780350177713
67,2021-02,2,-0.49494097139539095
68,2022-02,2,1.115743070684615
69,2023-02,2,-0.8196604908871801
70,2019-03,2,-1.452536184376925
71,2020-03,2,0.063977609274359
72,2021-03,2,-0.403949386802403
73,2022-03,2,0.662428885030769
74,2023-03,2,-1.068474782611538
75,2019-04,2,-1.466719077451281
76,2020-04,2,-0.29672473267
77,2021-04,2,-0.594253025485538
78,2022-04,2,0.356476070260795
79,2023-04,2,-1.317283759771794
80,2019-05,2,-1.062806576338462
81,2020-05,2,0.042975946703333
82,2021-05,2,-0.27964535828905
83,2022-05,2,0.8776269491256401
84,2023-05,2,-0.45215381715641
85,2019-06,2,-0.250348739609311
86,2020-06,2,0.719435622692052
87,2021-06,2,-0.453475506166667
88,2022-06,2,0.84734235944564
89,2023-06,2,-0.15188709194
90,2019-07,2,0.480239379502564
91,2020-07,2,0.9135955348512811
92,2021-07,2,-1.325120253538463
93,2022-07,2,-0.339007189164103
94,2023-07,2,-0.086021946335897
95,2019-08,2,0.535397290058008
96,2020-08,2,0.591166511690256
97,2021-08,2,-0.6900987412
98,2022-08,2,-0.982216774895642
99,2023-08,2,-0.034768568648718
100,2019-09,2,0.354794024476923
101,2020-09,2,-0.290714543607692
102,2021-09,2,-0.22690323927359
103,2022-09,2,-0.768137594466666
104,2023-09,2,-0.624219540683077
105,2019-10,2,0.4006901095512819
106,2020-10,2,-0.255954651525641
107,2021-10,2,-0.949635127156154
108,2022-10,2,-1.240485712271794
109,2023-10,2,-1.27697765481795
110,2019-11,2,0.2329937291
111,2020-11,2,0.58679271049541
112,2021-11,2,0.226662245234716
113,2022-11,2,-0.478896034811462
114,2023-11,2,-0.701493294171795
115,2019-12,2,-0.611141541498008
116,2020-12,2,0.06362078470704
117,2021-12,2,0.530497234246579
118,2022-12,2,0.341596201353965
119,2023-12,2,-1.482392796838463
120,2019-01,3,-0.137913863775897
121,2020-01,3,-0.5110749263
122,2021-01,3,-0.203540975889743
123,2022-01,3,0.818540955841284
124,2023-01,3,-0.132219938078044
125,2019-02,3,-0.370084454858974
126,2020-02,3,-0.698870871094871
127,2021-02,3,-0.641597827510257
128,2022-02,3,0.8791442302923079
129,2023-02,3,-0.392332765317705
130,2019-03,3,-0.978389269437692
131,2020-03,3,-0.005515962293846
132,2021-03,3,-0.542980731123829
133,2022-03,3,0.920513431228206
134,2023-03,3,-1.299638086743589
135,2019-04,3,-1.330147823230771
136,2020-04,3,-0.377969866002564
137,2021-04,3,-0.645737297937295
138,2022-04,3,0.710820508499232
139,2023-04,3,-1.181675410911795
140,2019-05,3,-1.80645626168026
141,2020-05,3,0.121742020966667
142,2021-05,3,-0.37773409585641
143,2022-05,3,0.8604506210204341
144,2023-05,3,-0.868990467248718
145,2019-06,3,-0.376478207341026
146,2020-06,3,0.527000833289738
147,2021-06,3,-0.622360753561538
148,2022-06,3,0.8989525698753861
149,2023-06,3,-0.303212707577436
150,2019-07,3,0.086660133245052
151,2020-07,3,0.938874290512821
152,2021-07,3,-1.136519845058973
153,2022-07,3,0.187763970458974
154,2023-07,3,-0.156560295384615
155,2019-08,3,0.540645096973312
156,2020-08,3,0.8137828971487181
